
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    (2     1889.07 8         1888.863 25    36  1                                                                                   
    (2      1910.4 4           1909.50 6   123 33                                                                                   
          1913.86 19          1913.86 19     0  0                                                                                   
          1924.62 12           1924.67 9   101 17                                                                                   
    (1     1933.75 8           1933.85 7   123 31                                                                                   
          1982.37 17           1982.52 6    61  6                                                                                   
          1986.27 16          1986.29 15    50  4                                                                                   
          1998.52 14          1998.48 13   143 79                                                                                   
    (1    2022.19 11           2022.37 9    42  2                                                                                   
           2032.95 4           2032.98 4    52  3                                                                                   
    (1    2063.86 11           2063.69 6    65  6                                                                                   
           2074.88 9           2074.89 5    44  2                                                                                   
           2099.25 7           2099.25 5    84 10                                                                                   
    (1      2121.3 3           2121.76 5    43  1                                                                                   
    (2    2128.75 14           2129.06 9    83  9                                                                                   
    (1    2158.16 17          2158.41 14   124 25                                                                                   
    (1    2171.69 11          2171.87 10    49  2                                                                                   
          2200.49 12           2200.56 8    47  1                                                                                   
          2203.77 19          2203.81 16    72  6                                                                                   
    (1      2210.8 7           2211.53 6    61  3                                                                                   
          2221.53 10           2221.57 5    48  1                                                                                   
            2240.5 8           2240.30 4    62  4                                                                                   
          2249.75 22          2249.76 17    71  5                                                                                   
            2262.4 4          2262.06 20    76  6                                                                                   
            2265.7 4          2265.39 24    53  2                                                                                   
          2279.94 20          2279.80 18    51  1                                                                                   
    (2    2281.80 15           2281.50 5    65  4                                                                                   
          2309.68 11           2309.76 8    67  4                                                                                   
          2319.41 10           2319.47 9    81  6                                                                                   
            2329.6 8            2329.6 8     0  0                                                                                   
    (1      2338.6 3          2338.97 11    82  6                                                                                   
            2346.4 6            2346.5 3   100 10                                                                                   
    (1     2357.56 8           2357.46 7    97  9                                                                                   
          2361.43 22          2361.62 10    83  6                                                                                   
           2363.91 9           2363.96 6    56  1                                                                                   
    (3      2399.6 3          2400.53 12   142 55                                                                                   
          2430.90 24           2431.01 8    58  1                                                                                   
            2434.5 3          2434.28 18   121 16                                                                                   
            2454.0 3            2454.0 3    90  7                                                                                   
            2469.6 3           2469.84 9    60  1                                                                                   
            2472.4 5          2472.48 14    75  4                                                                                   
          2482.41 23          2482.41 23   136 29                                                                                   
          2488.64 21           2488.69 6    61  1                                                                                   
            2501.4 3          2501.68 14    64  2                                                                                   
          2527.10 11           2527.20 5    66  2                                                                                   
              2546 3           2546.0 21    63  1                                                                                   
    (1    2557.55 18          2557.31 16   112 10                                                                                   
    (1    2569.74 11           2569.85 5    65  1                                                                                   
    (1    2607.58 13           2607.33 8    68  1                                                                                   
          2616.59 18          2616.64 18   146145                                                                                   
            2628.8 5          2629.05 25    94  5                                                                                   
            2632.2 4            2632.0 4    86  4                                                                                   
          2641.35 24          2641.32 22    95  5                                                                                   
            2661.2 4          2661.24 14   139 34                                                                                   
          2680.66 18          2680.67 17   146144                                                                                   
          2692.25 20          2692.14 16   146143                                                                                   
    (1     2718.93 8           2719.02 6    73  1                                                                                   
    (1      2720.2 9            2721.9 3   128 15                                                                                   
          2727.18 15           2727.26 9    78  2                                                                                   
            2734.4 8            2734.5 6    74  1                                                                                   
          2739.58 20           2739.70 9   146142                                                                                   
            2745.8 9           2745.05 7    92  3                                                                                   
            2759.1 6            2758.9 3    93  4                                                                                   
            2768.5 5          2768.22 20    76  1                                                                                   
            2777.6 3          2777.77 10   110  6                                                                                   
    (1      2789.5 4          2790.00 20   138 22                                                                                   
            2801.8 4          2801.46 19    79  1                                                                                   
          2809.61 20          2809.70 14    80  1                                                                                   
    (1     2831.8 13          2833.12 18    99  4                                                                                   
    (1      2836.9 6          2837.61 15    98  3                                                                                   
            2861.3 7            2861.8 4    86  2                                                                                   
            2866.5 7          2867.07 17   102  4                                                                                   
    (1    2884.50 24           2884.92 5    84  1                                                                                   
    (2      2892.4 5          2891.19 15   146141                                                                                   
    (2      2899.9 4          2900.73 15   111  5                                                                                   
    (1    2926.39 17          2926.05 12   106  3                                                                                   
            2946.9 3            2946.9 3     0  0                                                                                   
            2954.0 3            2953.8 3   146140                                                                                   
          2978.03 22          2978.12 14   146139                                                                                   
          2995.38 22          2995.58 10   110  4                                                                                   
            3006.3 3          3006.19 25    94  2                                                                                   
    (1      3048.6 3          3048.06 14   111  4                                                                                   
            3084.9 6          3084.63 19    96  1                                                                                   
          3097.01 20          3096.88 17   102  2                                                                                   
            3121.5 4          3121.48 18    99  1                                                                                   
            3128.0 4            3127.8 4   104  2                                                                                   
    (1     3154.2 10          3155.42 17   102  1                                                                                   
           3160.0 16           3160.0 16     0  0                                                                                   
          3193.63 21          3193.77 19   146138                                                                                   
            3200.1 5          3200.16 10   146137                                                                                   
          3216.24 18          3216.29 14   107  1                                                                                   
           3222.1 11          3222.12 23   146136                                                                                   
            3238.4 3          3238.30 21   146135                                                                                   
            3238.4 3          3238.50 21   108  1                                                                                   
            3248.1 3          3248.00 21   135 12                                                                                   
            3279.6 7            3279.4 5   146134                                                                                   
            3284.1 5          3283.93 10   110  1                                                                                   
    (1     3290.4 13          3292.02 14   124  6                                                                                   
    (1     3296.9 10            3298.0 3   146133                                                                                   
            3303.0 5          3303.10 18   144 22                                                                                   
    (1      3320.7 4          3321.49 19   125  6                                                                                   
    (1      3328.3 6            3329.3 3   126  7                                                                                   
          3335.35 18          3335.46 13   146132                                                                                   
            3349.3 6          3348.76 16   143 21                                                                                   
          3380.28 10          3380.24 10   146131                                                                                   
            3391.5 4          3391.18 19   146130                                                                                   
    (3      3401.8 3          3400.86 12   114  2                                                                                   
    (1      3408.0 9            3409.6 3   127  6                                                                                   
            3448.1 5            3448.1 5     0  0                                                                                   
            3454.1 3           3454.27 6   123  4                                                                                   
            3480.1 4          3480.02 14   146129                                                                                   
           3488.8 15           3488.8 15     0  0                                                                                   
    (1      3493.2 9          3494.49 18   145 20                                                                                   
          3496.83 24          3496.93 17   116  1                                                                                   
            3503.8 4           3503.61 9   118  2                                                                                   
    (1      3513.7 7          3514.87 18   117  1                                                                                   
            3528.6 8            3528.6 8     0  0                                                                                   
            3562.2 3            3562.4 3   146128                                                                                   
            3576.1 3            3576.2 3   146127                                                                                   
            3586.3 6            3586.3 6     0  0                                                                                   
          3612.02 18          3612.02 18     0  0                                                                                   
            3619.7 3            3620.0 3   146126                                                                                   
           3639.7 17            3638.6 3   127  3                                                                                   
            3651.2 5            3651.3 3   133  7                                                                                   
            3664.2 3          3664.35 19   146125                                                                                   
            3670.0 7            3669.8 5   134  7                                                                                   
          3677.50 25          3677.36 10   137  8                                                                                   
    (2    3693.28 24          3693.83 14   146124                                                                                   
          3702.11 18          3702.11 18     0  0                                                                                   
    (1     3749.23 9           3749.38 6   146123                                                                                   
            3758.2 5            3758.4 3   133  5                                                                                   
            3795.2 3          3795.21 22   146122                                                                                   
          3815.19 17          3815.15 15   141 10                                                                                   
          3823.67 23          3823.67 19   130  3                                                                                   
            3831.4 3            3831.4 3     0  0                                                                                   
          3841.44 13          3841.40 12   146121                                                                                   
            3897.2 3          3896.99 15   146120                                                                                   
    (1      3902.5 4          3903.08 11   146119                                                                                   
           3929.84 9           3929.85 8   146118                                                                                   
          3966.74 11           3966.64 9   142 10                                                                                   
            3976.9 3          3977.13 18   146117                                                                                   
          3994.98 24          3995.08 17   146116                                                                                   
    (2     3997.8 12            3995.4 3   140  7                                                                                   
          4017.23 24          4017.23 24     0  0                                                                                   
          4026.73 12          4026.69 10   146115                                                                                   
    (1    4032.77 13          4032.59 12   146114                                                                                   
    (1      4043.7 8          4042.28 19   130  2                                                                                   
    (1    4075.94 24          4076.37 10   146113                                                                                   
    (1      4112.4 4          4111.76 10   131  1                                                                                   
           4123.4 11           4123.4 11     0  0                                                                                   
    (2      4150.2 4          4149.02 16   146112                                                                                   
          4155.62 18          4155.59 14   146111                                                                                   
          4156.42 18          4156.53 13   132  1                                                                                   
          4207.99 12          4208.07 10   146110                                                                                   
            4213.0 3          4212.73 12   146109                                                                                   
            4245.5 9          4246.14 10   142  6                                                                                   
            4253.4 3          4253.50 21   146108                                                                                   
          4275.63 21          4275.70 14   146107                                                                                   
    (1      4288.3 4          4288.79 12   146106                                                                                   
            4300.8 3           4301.02 9   146105                                                                                   
    (1     4307.2 10            4305.7 4   146104                                                                                   
    (1      4313.0 4          4312.45 15   141  4                                                                                   
          4329.02 15          4329.09 13   146103                                                                                   
            4336.7 4          4336.57 17   146102                                                                                   
          4350.49 13           4350.54 9   146101                                                                                   
          4370.49 21          4370.52 18   146 99                                                                                   
          4377.18 15          4377.22 15   146 98                                                                                   
    (2    4396.20 15           4395.81 7   146 97                                                                                   
            4415.1 5          4414.99 22   146 95                                                                                   
