  60CO    59CO(N,G), (POL N,G) E=TH     1984KO29                  93ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
      4111.91 10         0.77 3       0.121 12        -0.65 4        -0.65 4    
      4156.69 13       0.413 24         0.0         -0.413 24      -0.413 24    
        4194.2 3       0.100 21       0.238 24         0.14 3         0.14 3    
        4212.7 5         0.17 4       0.108 18        -0.06 5        -0.06 5    
      4253.86 21       0.211 21       0.210 20         0.0            0.0       
      4270.04 23       0.076 23       0.146 20         0.07 3         0.07 3    
      4292.00 10       0.142 20       0.505 25         0.36 3         0.36 3    
      4298.39 19       0.360 24       0.184 23        -0.18 3        -0.18 3    
      4514.05 14       0.293 23         0.54 3         0.25 4         0.25 4    
        4538.3 3       0.226 23         0.09 4        -0.14 5        -0.14 5    
      4600.99 15       0.144 22       0.450 23         0.31 3         0.31 3    
       4752.49 9         0.34 3         0.96 4         0.62 5         0.62 5    
      4800.05 16       0.227 22         0.36 3         0.14 3         0.14 3    
      4811.52 17       0.262 23       0.149 22        -0.11 3        -0.11 3    
      4875.55 18       0.223 22         0.12 3        -0.10 4        -0.10 4    
     7492.254 15         0.0            99.3 5         99.3 5         99.3 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         99.8 18        99.8 18    
             TOTAL UNPLACED GAMMA INTENSITY =          2.33 8                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
