date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:34	21902/21902	---M--	200	added ('OK')	text/html	etag:%22558e-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/41CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/41CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:35	119562/119562	---M--	200	added ('OK')	text/html	etag:%221d30a-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/41K_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/41K_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:35	19524/19524	---M--	200	added ('OK')	text/html	etag:%224c44-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/43CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/43CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:36	159826/159826	---M--	200	added ('OK')	text/html	etag:%2227052-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/42K_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/42K_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:36	51421/51421	---M--	200	added ('OK')	text/html	etag:%22c8dd-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/44CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/44CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:36	16982/16982	---M--	200	added ('OK')	text/html	etag:%224256-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/45CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/45CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:37	5177/5177	---M--	200	added ('OK')	text/html	etag:%221439-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/47CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/47CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:37	137030/137030	---M--	200	added ('OK')	text/html	etag:%2221746-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/46SC_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/46SC_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:37	17639/17639	---M--	200	added ('OK')	text/html	etag:%2244e7-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/47TI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/47TI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:38	3702/3702	---M--	200	added ('OK')	text/html	etag:%22e76-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/49CA_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/49CA_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:38	54621/54621	---M--	200	added ('OK')	text/html	etag:%22d55d-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/48TI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/48TI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:39	33959/33959	---M--	200	added ('OK')	text/html	etag:%2284a7-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/49TI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/49TI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:39	31087/31087	---M--	200	added ('OK')	text/html	etag:%22796f-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/50TI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/50TI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:39	8293/8293	---M--	200	added ('OK')	text/html	etag:%222065-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/51TI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/51TI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:40	76351/76351	---M--	200	added ('OK')	text/html	etag:%2212a3f-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/51V_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/51V_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:40	28792/28792	---M--	200	added ('OK')	text/html	etag:%227078-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/51CR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/51CR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:41	9440/9440	---M--	200	added ('OK')	text/html	etag:%2224e0-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/53CR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/53CR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:41	79385/79385	---M--	200	added ('OK')	text/html	etag:%2213619-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/52V_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/52V_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:42	35517/35517	---M--	200	added ('OK')	text/html	etag:%228abd-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/54CR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/54CR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:42	15426/15426	---M--	200	added ('OK')	text/html	etag:%223c42-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/55CR_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/55CR_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:42	16411/16411	---M--	200	added ('OK')	text/html	etag:%22401b-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/55FE_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/55FE_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:43	74548/74548	---M--	200	added ('OK')	text/html	etag:%2212334-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/56MN_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/56MN_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:43	65365/65365	---M--	200	added ('OK')	text/html	etag:%22ff55-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/57FE_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/57FE_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
