
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
            3747.2 6            3747.3 4    27  2                                                                                   
            3756.6 7            3756.6 7     0  0                                                                                   
            3808.5 6            3808.5 6     0  0                                                                                   
            3826.8 7            3826.8 7     0  0                                                                                   
            3848.9 7          3848.56 23    28  2                                                                                   
    (1      3861.7 7            3862.8 3    42  4                                                                                   
            3870.0 7            3870.0 7     0  0                                                                                   
            3874.4 7            3874.4 7     0  0                                                                                   
            3892.3 7            3892.3 7     0  0                                                                                   
            3903.4 6            3903.4 6     0  0                                                                                   
            3923.2 7            3923.2 7     0  0                                                                                   
            3957.3 6            3957.3 6     0  0                                                                                   
            3973.1 4          3972.97 22    30  2                                                                                   
            4025.9 8            4025.9 8     0  0                                                                                   
            4034.4 8            4034.4 8     0  0                                                                                   
            4075.4 7            4075.4 7     0  0                                                                                   
            4131.1 8            4131.1 8     0  0                                                                                   
            4150.0 8            4150.0 8     0  0                                                                                   
            4168.8 7            4168.8 7     0  0                                                                                   
            4185.6 8            4185.0 5    34  2                                                                                   
    (S        0.0               4195.5 4    18  1                                                                                   
            4209.1 7            4209.1 7     0  0                                                                                   
            4217.9 8            4217.8 5    35  2                                                                                   
            4264.7 7            4264.7 7     0  0                                                                                   
            4276.8 8            4276.8 8     0  0                                                                                   
            4284.3 8            4284.3 8     0  0                                                                                   
            4301.7 7            4301.7 4    36  2                                                                                   
            4318.1 8            4318.1 8     0  0                                                                                   
            4345.4 8            4345.4 8     0  0                                                                                   
            4376.8 8            4376.8 8     0  0                                                                                   
            4383.4 7            4383.4 7     0  0                                                                                   
            4391.5 7          4391.54 25    37  2                                                                                   
            4436.3 7            4436.3 7     0  0                                                                                   
            4457.9 7            4458.4 3    45 44                                                                                   
            4462.7 8            4462.7 8     0  0                                                                                   
    (S        0.0               4479.5 5    21  1                                                                                   
            4488.4 8            4488.4 8     0  0                                                                                   
            4499.4 8            4499.4 8     0  0                                                                                   
            4502.6 8            4502.6 8     0  0                                                                                   
            4530.9 8            4530.9 8     0  0                                                                                   
            4554.3 8            4554.3 8     0  0                                                                                   
            4565.1 8          4564.57 21    22  1                                                                                   
            4577.6 8            4577.6 8     0  0                                                                                   
            4599.1 7            4599.1 7     0  0                                                                                   
            4617.9 8          4618.67 23    39  2                                                                                   
            4625.1 8            4625.1 8     0  0                                                                                   
            4638.3 8            4638.3 8     0  0                                                                                   
            4651.0 5            4650.7 4    24  1                                                                                   
            4678.6 8            4678.6 8     0  0                                                                                   
            4686.9 8            4686.9 8     0  0                                                                                   
            4716.1 8            4716.1 8     0  0                                                                                   
            4748.3 7            4748.3 7     0  0                                                                                   
            4775.6 8            4775.6 8     0  0                                                                                   
    (S        0.0               4801.5 3    26  1                                                                                   
            4808.1 7            4808.1 7     0  0                                                                                   
            4814.9 8            4814.9 8     0  0                                                                                   
            4849.8 8            4849.8 8     0  0                                                                                   
            4872.1 8            4872.1 8     0  0                                                                                   
            4890.6 7            4890.6 7     0  0                                                                                   
            4905.4 7            4905.4 7     0  0                                                                                   
            4919.9 7            4919.9 5    45 43                                                                                   
            4974.6 8            4974.6 8     0  0                                                                                   
    (1      4984.4 5            4985.1 3    45 42                                                                                   
            5006.9 7            5006.9 7     0  0                                                                                   
            5039.1 7            5039.1 7     0  0                                                                                   
            5068.4 8            5068.4 8     0  0                                                                                   
            5091.6 8            5091.3 5    45 41                                                                                   
            5119.3 8            5119.3 8     0  0                                                                                   
            5136.0 7            5136.0 7     0  0                                                                                   
            5160.3 8            5160.3 8     0  0                                                                                   
            5196.0 5            5196.0 5     0  0                                                                                   
            5223.9 7            5223.9 7     0  0                                                                                   
            5239.7 7            5239.7 7     0  0                                                                                   
            5264.4 5            5264.5 3    45 40                                                                                   
            5281.6 8            5281.6 8     0  0                                                                                   
            5287.3 8            5287.3 8     0  0                                                                                   
            5304.2 7            5304.2 7     0  0                                                                                   
            5315.7 8            5315.7 8     0  0                                                                                   
            5348.9 8            5348.9 8     0  0                                                                                   
            5355.7 5          5355.32 24    45 39                                                                                   
            5397.8 5          5397.87 24    45 38                                                                                   
            5472.5 7            5472.5 7     0  0                                                                                   
            5478.8 8            5478.8 8     0  0                                                                                   
            5538.1 5            5538.1 5     0  0                                                                                   
            5558.6 7            5558.6 7     0  0                                                                                   
            5582.4 5          5582.44 25    45 37                                                                                   
            5592.2 8            5592.2 8     0  0                                                                                   
            5629.7 7            5629.7 7     0  0                                                                                   
            5673.0 7            5672.3 4    45 36                                                                                   
            5689.9 8            5689.9 8     0  0                                                                                   
            5723.3 8            5723.3 8     0  0                                                                                   
            5735.3 7            5735.3 7     0  0                                                                                   
            5756.3 7            5756.2 5    45 35                                                                                   
            5789.5 7            5789.0 5    45 34                                                                                   
            5831.4 7            5830.7 4    45 33                                                                                   
            5841.9 5            5841.9 3    45 32                                                                                   
            5900.9 5          5900.80 22    45 31                                                                                   
            6001.3 6          6001.00 23    45 30                                                                                   
            6034.4 6            6034.3 4    45 29                                                                                   
           6039.7 10           6039.7 10     0  0                                                                                   
           6071.1 10           6071.1 10     0  0                                                                                   
            6104.7 8            6104.7 8     0  0                                                                                   
            6125.3 6          6125.40 24    45 28                                                                                   
           6145.6 10            6145.6 3    42  1                                                                                   
            6151.1 8            6151.1 8     0  0                                                                                   
           6186.8 10           6186.8 10     0  0                                                                                   
           6197.7 10           6197.7 10     0  0                                                                                   
            6226.7 8            6226.6 4    45 27                                                                                   
           6248.5 10           6248.5 10     0  0                                                                                   
           6298.7 10           6298.7 10     0  0                                                                                   
    (1      6328.3 6            6329.2 3    45 26                                                                                   
           6335.6 10           6335.6 10     0  0                                                                                   
            6352.2 8            6352.2 8     0  0                                                                                   
           6393.5 10           6393.5 10     0  0                                                                                   
            6441.1 8            6441.1 5    45 25                                                                                   
            6480.2 6            6480.0 4    45 24                                                                                   
            6546.6 6          6546.93 21    45 23                                                                                   
            6566.4 6          6566.16 18    45 22                                                                                   
           6591.7 10           6591.7 10     0  0                                                                                   
            6651.3 8            6651.2 5    45 21                                                                                   
           6731.9 10            6731.9 6    45 20                                                                                   
            6772.3 6          6772.71 24    45 19                                                                                   
           6868.6 10           6868.6 10     0  0                                                                                   
            6935.2 6            6935.2 4    45 18                                                                                   
           6963.5 10           6963.5 10     0  0                                                                                   
           6980.7 10           6980.7 10     0  0                                                                                   
           7080.8 10           7080.8 10     0  0                                                                                   
           7119.7 10            7119.5 4    45 16                                                                                   
            7208.1 6          7208.21 17    45 15                                                                                   
           7247.3 10           7247.3 10     0  0                                                                                   
            7354.2 8            7354.7 4    45 13                                                                                   
            7418.8 6          7418.92 17    45 12                                                                                   
