V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
 1.5134E+03 1.1693E+00 1.5320E+03 8.7677E-01 1.5507E+03 6.7584E-012350 3102
 1.5694E+03 5.3385E-01 1.6067E+03 3.5384E-01 1.6254E+03 2.9526E-012350 3102
 1.6441E+03 2.4973E-01 1.6814E+03 1.8478E-01 1.7188E+03 1.4180E-012350 3102
 1.7934E+03 9.0568E-02 1.8308E+03 7.4660E-02 1.8681E+03 6.2552E-022350 3102
 1.9428E+03 4.5683E-02 2.0175E+03 3.4792E-02 2.0922E+03 2.7382E-022350 3102
 2.1669E+03 2.2128E-02 2.2416E+03 1.8279E-02 2.3163E+03 1.5383E-022350 3102
 2.4656E+03 1.1407E-02 2.6150E+03 8.8916E-03 2.9138E+03 6.0615E-032350 3102
 3.0631E+03 5.2429E-03 3.2125E+03 4.6546E-03 3.5113E+03 3.9278E-032350 3102
 3.8100E+03 3.5889E-03 4.1088E+03 3.5199E-03 4.4075E+03 3.6914E-032350 3102
 4.7063E+03 4.1490E-03 5.0050E+03 5.0580E-03 5.1544E+03 5.8080E-032350 3102
 5.3038E+03 6.9101E-03 5.3784E+03 7.6670E-03 5.4531E+03 8.6305E-032350 3102
 5.5278E+03 9.8891E-03 5.6025E+03 1.1588E-02 5.6398E+03 1.2675E-022350 3102
 5.6772E+03 1.3980E-02 5.7145E+03 1.5569E-02 5.7519E+03 1.7537E-022350 3102
 5.7892E+03 2.0024E-02 5.8266E+03 2.3238E-02 5.8639E+03 2.7509E-022350 3102
 5.9013E+03 3.3379E-02 5.9386E+03 4.1788E-02 5.9759E+03 5.4488E-022350 3102
 5.9946E+03 6.3436E-02 6.0133E+03 7.5036E-02 6.0320E+03 9.0451E-022350 3102
 6.0506E+03 1.1154E-01 6.0693E+03 1.4143E-01 6.0880E+03 1.8562E-012350 3102
 6.0973E+03 2.1600E-01 6.1066E+03 2.5444E-01 6.1160E+03 3.0385E-012350 3102
 6.1253E+03 3.6849E-01 6.1346E+03 4.5453E-01 6.1440E+03 5.7097E-012350 3102
 6.1533E+03 7.3037E-01 6.1627E+03 9.4818E-01 6.1813E+03 1.5798E+002350 3102
 6.2000E+03 2.0284E+00 6.2172E+03 1.6241E+00 6.2344E+03 1.0216E+002350 3102
 6.2430E+03 8.0033E-01 6.2516E+03 6.3358E-01 6.2602E+03 5.0908E-012350 3102
 6.2688E+03 4.1561E-01 6.2859E+03 2.8982E-01 6.3031E+03 2.1298E-012350 3102
 6.3203E+03 1.6337E-01 6.3375E+03 1.2981E-01 6.3719E+03 8.9048E-022350 3102
 6.3891E+03 7.6269E-02 6.4063E+03 6.6540E-02 6.4406E+03 5.3090E-022350 3102
 6.4750E+03 4.4647E-02 6.5438E+03 3.5749E-02 6.5781E+03 3.3635E-022350 3102
 6.6125E+03 3.2532E-02 6.6469E+03 3.2238E-02 6.6813E+03 3.2642E-022350 3102
 6.6984E+03 3.3089E-02 6.7156E+03 3.3697E-02 6.7242E+03 3.4062E-022350 3102
 6.7328E+03 3.4468E-02 6.7371E+03 3.4687E-02 6.7414E+03 3.4916E-022350 3102
 6.7435E+03 3.5035E-02 6.7457E+03 3.5156E-02 6.7468E+03 3.5218E-022350 3102
 6.7479E+03 3.5280E-02 6.7484E+03 3.5312E-02 6.7489E+03 3.5343E-022350 3102
 6.7492E+03 3.5359E-02 6.7495E+03 3.5375E-02 6.7496E+03 3.5383E-022350 3102
 6.7497E+03 3.5391E-02 6.7498E+03 3.5395E-02 6.7499E+03 3.5399E-022350 3102
 6.7499E+03 3.5401E-02 6.7499E+03 3.5403E-02 6.7500E+03 3.5404E-022350 3102
 6.7500E+03 3.5405E-02 6.7500E+03 3.5405E-02 6.7500E+03 3.5406E-022350 3102
 6.7500E+03 3.5406E-02 6.7500E+03 3.5406E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-022350 3102
 6.7500E+03 3.5407E-02 6.7500E+03 3.5407E-02 6.8188E+03 4.1034E-022350 3102
 6.8875E+03 5.0545E-02 6.9219E+03 5.7393E-02 6.9563E+03 6.6212E-022350 3102
 6.9906E+03 7.7672E-02 7.0250E+03 9.2750E-02 7.0594E+03 1.1286E-012350 3102
 7.0938E+03 1.4005E-01 7.1281E+03 1.7709E-01 7.1625E+03 2.2731E-012350 3102
 7.2313E+03 3.6964E-01 7.3000E+03 4.6546E-01 7.4188E+03 2.5361E-012350 3102
 7.4781E+03 1.6437E-01 7.5078E+03 1.3467E-01 7.5375E+03 1.1211E-012350 3102
 7.5969E+03 8.1623E-02 7.6563E+03 6.3416E-02 7.7156E+03 5.2533E-022350 3102
 7.7750E+03 4.6506E-02 7.8344E+03 4.4273E-02 7.8938E+03 4.5795E-022350 3102
 7.9531E+03 5.2226E-02 8.0125E+03 6.6988E-02 8.0422E+03 7.9959E-022350 3102
 8.0719E+03 9.9448E-02 8.1016E+03 1.2962E-01 8.1313E+03 1.7813E-012350 3102
 8.1461E+03 2.1325E-01 8.1609E+03 2.5874E-01 8.1758E+03 3.1738E-012350 3102
 8.1906E+03 3.9129E-01 8.2203E+03 5.7192E-01 8.2500E+03 6.7526E-012350 3102
 8.3055E+03 4.0546E-01 8.3609E+03 1.8780E-01 8.3887E+03 1.3507E-012350 3102
 8.4164E+03 1.0123E-01 8.4441E+03 7.8615E-02 8.4719E+03 6.2901E-022350 3102
 8.5273E+03 4.3203E-02 8.5551E+03 3.6815E-02 8.5828E+03 3.1841E-022350 3102
 8.6383E+03 2.4700E-02 8.6938E+03 1.9913E-02 8.8047E+03 1.4066E-022350 3102
 8.9156E+03 1.0742E-02 9.0266E+03 8.6620E-03 9.1375E+03 7.2732E-032350 3102
 9.2484E+03 6.3051E-03 9.3594E+03 5.6122E-03 9.4703E+03 5.1107E-032350 3102
 9.5813E+03 4.7500E-03 9.8031E+03 4.3378E-03 1.0025E+04 4.2482E-032350 3102
 1.0247E+04 4.4619E-03 1.0469E+04 5.0516E-03 1.0580E+04 5.5459E-032350 3102
 1.0691E+04 6.2334E-03 1.0802E+04 7.1935E-03 1.0913E+04 8.5570E-032350 3102
 1.0968E+04 9.4549E-03 1.1023E+04 1.0549E-02 1.1079E+04 1.1899E-022350 3102
 1.1134E+04 1.3584E-02 1.1190E+04 1.5721E-02 1.1245E+04 1.8478E-022350 3102
 1.1301E+04 2.2108E-02 1.1356E+04 2.7002E-02 1.1412E+04 3.3782E-022350 3102
 1.1467E+04 4.3471E-02 1.1495E+04 4.9903E-02 1.1523E+04 5.7782E-022350 3102
 1.1550E+04 6.7509E-02 1.1578E+04 7.9587E-02 1.1606E+04 9.4626E-022350 3102
 1.1634E+04 1.1329E-01 1.1661E+04 1.3610E-01 1.1689E+04 1.6305E-012350 3102
 1.1745E+04 2.2160E-01 1.1800E+04 2.5076E-01 1.1900E+04 1.7113E-012350 3102
 1.2000E+04 8.8583E-02 1.2050E+04 6.5237E-02 1.2100E+04 4.9459E-022350 3102
 1.2150E+04 3.8566E-02 1.2200E+04 3.0838E-02 1.2300E+04 2.1003E-022350 3102
 1.2350E+04 1.7794E-02 1.2400E+04 1.5296E-02 1.2500E+04 1.1732E-022350 3102
 1.2600E+04 9.3779E-03 1.2800E+04 6.6019E-03 1.2900E+04 5.7632E-032350 3102
 1.3000E+04 5.1456E-03 1.3200E+04 4.3578E-03 1.3400E+04 3.9743E-032350 3102
 1.3450E+04 3.9274E-03 1.3500E+04 3.8983E-03 1.3513E+04 3.8937E-032350 3102
