S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
 8.7419E+05 2.4531E-04 8.8274E+05 2.4276E-04 8.9134E+05 2.4025E-041633 3102
 9.0000E+05 2.3778E-04 9.1206E+05 2.3554E-04 9.2424E+05 2.3333E-041633 3102
 9.3652E+05 2.3116E-04 9.4890E+05 2.2901E-04 9.7423E+05 2.2477E-041633 3102
 1.0000E+06 2.2064E-04 1.0288E+06 2.1999E-04 1.0581E+06 2.1935E-041633 3102
 1.0882E+06 2.1872E-04 1.1190E+06 2.1809E-04 1.1507E+06 2.1746E-041633 3102
 1.1829E+06 2.1684E-04 1.2162E+06 2.1622E-04 1.2500E+06 2.1561E-041633 3102
 1.3088E+06 2.1152E-04 1.3700E+06 2.0753E-04 1.4337E+06 2.0363E-041633 3102
 1.5000E+06 1.9984E-04 1.6207E+06 1.9472E-04 1.7500E+06 1.8978E-041633 3102
 1.8713E+06 1.8638E-04 2.0000E+06 1.8307E-04 2.0261E+06 1.8315E-041633 3102
 2.0261E+06 1.8315E-04 2.0314E+06 1.8195E-04 2.0367E+06 1.8076E-041633 3102
 2.0472E+06 1.7841E-04 2.0684E+06 1.7381E-04 2.0898E+06 1.6934E-041633 3102
 2.1113E+06 1.6500E-04 2.1332E+06 1.6073E-04 2.1553E+06 1.5659E-041633 3102
 2.2000E+06 1.4865E-04 2.2447E+06 1.4533E-04 2.2900E+06 1.4209E-041633 3102
 2.3366E+06 1.3891E-04 2.3838E+06 1.3583E-04 2.3838E+06 1.3582E-041633 3102
 2.3909E+06 1.3532E-04 2.3981E+06 1.3482E-04 2.4125E+06 1.3383E-041633 3102
 2.4414E+06 1.3188E-04 2.4706E+06 1.2996E-04 2.5000E+06 1.2808E-041633 3102
 2.5301E+06 1.2694E-04 2.5605E+06 1.2582E-04 2.6220E+06 1.2362E-041633 3102
 2.6855E+06 1.2144E-04 2.7500E+06 1.1932E-04 2.8501E+06 1.1734E-041633 3102
 2.9537E+06 1.1540E-04 2.9652E+06 1.1449E-04 2.9768E+06 1.1358E-041633 3102
 3.0000E+06 1.6601E-04 3.0238E+06 1.6555E-04 3.0328E+06 1.6258E-041633 3102
 3.0418E+06 1.5969E-04 3.0598E+06 1.5418E-04 3.0714E+06 1.5263E-041633 3102
 3.0830E+06 1.5110E-04 3.1063E+06 1.4815E-04 3.1297E+06 1.4533E-041633 3102
 3.1533E+06 1.4263E-04 3.2014E+06 1.3750E-04 3.2500E+06 1.3281E-041633 3102
 3.3185E+06 1.2943E-04 3.3286E+06 1.2892E-04 3.3388E+06 1.2841E-041633 3102
 3.3591E+06 1.2742E-04 3.3795E+06 1.2646E-04 3.4000E+06 1.2553E-041633 3102
 3.4490E+06 1.2465E-04 3.4985E+06 1.2384E-04 3.5490E+06 1.2309E-041633 3102
 3.6000E+06 1.2240E-04 3.7101E+06 1.2253E-04 3.7101E+06 1.2253E-041633 3102
 3.7188E+06 1.2239E-04 3.7275E+06 1.2225E-04 3.7450E+06 1.2198E-041633 3102
 3.7800E+06 1.2146E-04 3.8153E+06 1.2098E-04 3.8508E+06 1.2054E-041633 3102
 3.9234E+06 1.1976E-04 3.9969E+06 1.1913E-04 4.0723E+06 1.1864E-041633 3102
 4.1487E+06 1.1829E-04 4.2270E+06 1.1809E-04 4.3063E+06 1.1804E-041633 3102
 4.3876E+06 1.1813E-04 4.4699E+06 1.1837E-04 4.5538E+06 1.1876E-041633 3102
 4.6400E+06 1.1931E-04 4.7271E+06 1.2001E-04 4.8166E+06 1.2088E-041633 3102
 4.9071E+06 1.2190E-04 5.0000E+06 1.2310E-04 5.1156E+06 1.2494E-041633 3102
 5.2348E+06 1.2706E-04 5.3553E+06 1.2943E-04 5.4795E+06 1.3211E-041633 3102
 5.6050E+06 1.3506E-04 5.7344E+06 1.3836E-04 5.8652E+06 1.4196E-041633 3102
 6.0000E+06 1.4597E-04 6.1506E+06 1.5079E-04 6.3037E+06 1.5607E-041633 3102
 6.4612E+06 1.6193E-04 6.6213E+06 1.6832E-04 6.7859E+06 1.7536E-041633 3102
 6.9532E+06 1.8303E-04 7.1252E+06 1.9145E-04 7.3000E+06 2.0059E-041633 3102
 7.3354E+06 2.0253E-04 7.5209E+06 2.1306E-04 7.7095E+06 2.2443E-041633 3102
 7.9013E+06 2.3666E-04 8.0962E+06 2.4975E-04 8.2942E+06 2.6367E-041633 3102
 8.4955E+06 2.7840E-04 8.7000E+06 2.9385E-04 8.9078E+06 3.0991E-041633 3102
 8.9078E+06 3.0991E-04 9.0531E+06 3.2127E-04 9.2000E+06 3.3278E-041633 3102
 9.3610E+06 3.4497E-04 9.5281E+06 3.5751E-04 9.6929E+06 3.6965E-041633 3102
 9.8638E+06 3.8189E-04 1.0000E+07 3.9131E-04 1.0140E+07 4.0061E-041633 3102
 1.0279E+07 4.0943E-04 1.0422E+07 4.1802E-04 1.0563E+07 4.2596E-041633 3102
 1.0708E+07 4.3356E-04 1.0853E+07 4.4055E-04 1.1000E+07 4.4701E-041633 3102
 1.1120E+07 4.5171E-04 1.1245E+07 4.5617E-04 1.1493E+07 4.6368E-041633 3102
 1.1745E+07 4.6956E-04 1.2000E+07 4.7381E-04 1.2239E+07 4.7629E-041633 3102
 1.2481E+07 4.7752E-04 1.2726E+07 4.7759E-04 1.2974E+07 4.7657E-041633 3102
 1.3226E+07 4.7455E-04 1.3481E+07 4.7163E-04 1.3739E+07 4.6789E-041633 3102
 1.3869E+07 4.6575E-04 1.4000E+07 4.6344E-04 1.4240E+07 4.5882E-041633 3102
 1.4483E+07 4.5373E-04 1.4729E+07 4.4822E-04 1.4978E+07 4.4234E-041633 3102
 1.5229E+07 4.3616E-04 1.5483E+07 4.2971E-04 1.5740E+07 4.2302E-041633 3102
 1.5870E+07 4.1960E-04 1.6000E+07 4.1614E-04 1.6485E+07 4.0310E-041633 3102
 1.6980E+07 3.8970E-04 1.7485E+07 3.7609E-04 1.7741E+07 3.6926E-041633 3102
 1.8000E+07 3.6241E-04 1.8487E+07 3.4974E-04 1.8982E+07 3.3719E-041633 3102
 1.9487E+07 3.2477E-04 2.0000E+07 3.1258E-04                      1633 3102
                                                                  1633 3  0
