S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
 1.0502E+03 1.1742E-03 1.1552E+03 1.0828E-03 1.2602E+03 1.0035E-031633 3102
 1.3127E+03 9.6754E-04 1.4177E+03 9.0205E-04 1.4702E+03 8.7213E-041633 3102
 1.5752E+03 8.1712E-04 1.6802E+03 7.6775E-04 1.7852E+03 7.2318E-041633 3102
 1.8903E+03 6.8276E-04 1.9953E+03 6.4594E-04 2.2053E+03 5.8138E-041633 3102
 2.3103E+03 5.5293E-04 2.5203E+03 5.0235E-04 2.8354E+03 4.3923E-041633 3102
 3.1504E+03 3.8782E-04 3.3604E+03 3.5863E-04 3.6755E+03 3.2090E-041633 3102
 3.8855E+03 2.9910E-04 4.2005E+03 2.7050E-04 4.4106E+03 2.5376E-041633 3102
 4.8306E+03 2.2484E-04 5.2507E+03 2.0086E-04 5.8807E+03 1.7198E-041633 3102
 6.5108E+03 1.4952E-04 7.1409E+03 1.3193E-04 8.1910E+03 1.1079E-041633 3102
 8.8211E+03 1.0220E-04 9.6612E+03 9.5485E-05 1.0081E+04 9.4603E-051633 3102
 1.0711E+04 9.8069E-05 1.1341E+04 1.1257E-04 1.1656E+04 1.2878E-041633 3102
 1.1971E+04 1.5819E-04 1.2234E+04 2.0349E-04 1.2444E+04 2.6892E-041633 3102
 1.2575E+04 3.3620E-04 1.2654E+04 3.9359E-04 1.2733E+04 4.7100E-041633 3102
 1.2785E+04 5.3859E-04 1.2864E+04 6.7611E-04 1.2930E+04 8.4113E-041633 3102
 1.2969E+04 9.7434E-04 1.3035E+04 1.2861E-03 1.3074E+04 1.5564E-031633 3102
 1.3114E+04 1.9270E-03 1.3140E+04 2.2560E-03 1.3179E+04 2.9404E-031633 3102
 1.3219E+04 4.0032E-03 1.3251E+04 5.4057E-03 1.3264E+04 6.1877E-031633 3102
 1.3284E+04 7.7261E-03 1.3291E+04 8.3722E-03 1.3310E+04 1.0910E-021633 3102
 1.3324E+04 1.3257E-02 1.3337E+04 1.6463E-02 1.3343E+04 1.8540E-021633 3102
 1.3350E+04 2.1022E-02 1.3360E+04 2.5817E-02 1.3366E+04 3.0007E-021633 3102
 1.3369E+04 3.2493E-02 1.3373E+04 3.5301E-02 1.3376E+04 3.8489E-021633 3102
 1.3379E+04 4.2126E-02 1.3383E+04 4.6301E-02 1.3384E+04 4.8626E-021633 3102
 1.3386E+04 5.1131E-02 1.3389E+04 5.6766E-02 1.3391E+04 5.9961E-021633 3102
 1.3392E+04 6.3413E-02 1.3394E+04 6.7172E-02 1.3396E+04 7.1277E-021633 3102
 1.3397E+04 7.5768E-02 1.3399E+04 8.0698E-02 1.3401E+04 8.6124E-021633 3102
 1.3402E+04 9.2113E-02 1.3404E+04 9.8748E-02 1.3406E+04 1.0612E-011633 3102
 1.3407E+04 1.1436E-01 1.3408E+04 1.1883E-01 1.3409E+04 1.2358E-011633 3102
 1.3410E+04 1.2862E-01 1.3410E+04 1.3397E-01 1.3411E+04 1.3966E-011633 3102
 1.3412E+04 1.4572E-01 1.3413E+04 1.5218E-01 1.3414E+04 1.5908E-011633 3102
 1.3415E+04 1.6646E-01 1.3415E+04 1.7436E-01 1.3416E+04 1.8294E-011633 3102
 1.3417E+04 1.9204E-01 1.3418E+04 2.0184E-01 1.3419E+04 2.1239E-011633 3102
 1.3420E+04 2.2379E-01 1.3420E+04 2.3612E-01 1.3421E+04 2.4947E-011633 3102
 1.3422E+04 2.6397E-01 1.3423E+04 2.7974E-01 1.3424E+04 2.9693E-011633 3102
 1.3424E+04 3.1570E-01 1.3425E+04 3.3625E-01 1.3426E+04 3.5880E-011633 3102
 1.3426E+04 3.7089E-01 1.3427E+04 3.8358E-01 1.3427E+04 3.9689E-011633 3102
 1.3428E+04 4.1087E-01 1.3428E+04 4.2556E-01 1.3429E+04 4.4099E-011633 3102
 1.3429E+04 4.5722E-01 1.3429E+04 4.7429E-01 1.3430E+04 4.9225E-011633 3102
 1.3430E+04 5.1115E-01 1.3431E+04 5.3105E-01 1.3431E+04 5.5201E-011633 3102
 1.3431E+04 5.7408E-01 1.3432E+04 5.9732E-01 1.3432E+04 6.2180E-011633 3102
 1.3433E+04 6.4758E-01 1.3433E+04 6.7473E-01 1.3433E+04 7.0330E-011633 3102
 1.3434E+04 7.3337E-01 1.3434E+04 7.6499E-01 1.3435E+04 7.9823E-011633 3102
 1.3435E+04 8.3314E-01 1.3436E+04 8.6978E-01 1.3436E+04 9.0818E-011633 3102
 1.3436E+04 9.4839E-01 1.3437E+04 9.9043E-01 1.3437E+04 1.0343E+001633 3102
 1.3438E+04 1.0801E+00 1.3438E+04 1.1276E+00 1.3438E+04 1.1770E+001633 3102
 1.3439E+04 1.2282E+00 1.3439E+04 1.2810E+00 1.3440E+04 1.3355E+001633 3102
 1.3440E+04 1.4486E+00 1.3441E+04 1.5665E+00 1.3443E+04 1.7822E+001633 3102
 1.3444E+04 2.0081E+00 1.3445E+04 2.0790E+00 1.3446E+04 2.1797E+001633 3102
 1.3446E+04 2.2683E+00 1.3447E+04 2.3202E+00 1.3447E+04 2.3654E+001633 3102
 1.3448E+04 2.4033E+00 1.3448E+04 2.4334E+00 1.3449E+04 2.4552E+001633 3102
 1.3449E+04 2.4684E+00 1.3450E+04 2.4727E+00 1.3450E+04 2.4715E+001633 3102
 1.3451E+04 2.4545E+00 1.3452E+04 2.4323E+00 1.3452E+04 2.4019E+001633 3102
 1.3453E+04 2.3637E+00 1.3453E+04 2.3182E+00 1.3454E+04 2.2661E+001633 3102
 1.3454E+04 2.2081E+00 1.3455E+04 2.1437E+00 1.3455E+04 2.0761E+001633 3102
 1.3456E+04 1.9314E+00 1.3457E+04 1.8558E+00 1.3458E+04 1.7019E+001633 3102
 1.3459E+04 1.5314E+00 1.3460E+04 1.4400E+00 1.3461E+04 1.2678E+001633 3102
 1.3462E+04 1.1867E+00 1.3462E+04 1.1098E+00 1.3463E+04 1.0374E+001633 3102
 1.3463E+04 9.7049E-01 1.3464E+04 9.0698E-01 1.3465E+04 8.4787E-011633 3102
 1.3465E+04 7.9300E-01 1.3466E+04 7.4294E-01 1.3467E+04 6.9590E-011633 3102
 1.3467E+04 6.5245E-01 1.3468E+04 6.1237E-01 1.3469E+04 5.7595E-011633 3102
 1.3469E+04 5.4180E-01 1.3470E+04 5.1030E-01 1.3470E+04 4.8124E-011633 3102
 1.3471E+04 4.5480E-01 1.3472E+04 4.2996E-01 1.3472E+04 4.0698E-011633 3102
 1.3473E+04 3.8570E-01 1.3474E+04 3.6626E-01 1.3474E+04 3.4792E-011633 3102
 1.3475E+04 3.3088E-01 1.3476E+04 3.1502E-01 1.3477E+04 2.8666E-011633 3102
 1.3477E+04 2.7376E-01 1.3479E+04 2.5057E-01 1.3480E+04 2.3002E-011633 3102
 1.3481E+04 2.2067E-01 1.3482E+04 2.0370E-01 1.3483E+04 1.9587E-011633 3102
 1.3484E+04 1.8161E-01 1.3485E+04 1.6874E-01 1.3486E+04 1.5727E-011633 3102
 1.3488E+04 1.4685E-01 1.3489E+04 1.3749E-01 1.3490E+04 1.2893E-011633 3102
 1.3491E+04 1.2120E-01 1.3493E+04 1.1409E-01 1.3494E+04 1.0763E-011633 3102
 1.3495E+04 1.0166E-01 1.3497E+04 9.6215E-02 1.3499E+04 8.6518E-021633 3102
 1.3500E+04 8.2193E-02 1.3503E+04 7.4488E-02 1.3506E+04 6.7817E-021633 3102
 1.3507E+04 6.4823E-02 1.3509E+04 5.9381E-02 1.3513E+04 5.2410E-021633 3102
 1.3517E+04 4.6615E-02 1.3520E+04 4.3266E-02 1.3522E+04 4.0266E-021633 3102
 1.3525E+04 3.7567E-02 1.3527E+04 3.5129E-02 1.3530E+04 3.2920E-021633 3102
 1.3535E+04 2.9083E-02 1.3537E+04 2.7412E-02 1.3542E+04 2.4474E-021633 3102
 1.3548E+04 2.1984E-02 1.3555E+04 1.8906E-02 1.3563E+04 1.6433E-021633 3102
 1.3571E+04 1.4416E-02 1.3576E+04 1.3271E-02 1.3583E+04 1.1795E-021633 3102
 1.3596E+04 9.8318E-03 1.3601E+04 9.1808E-03 1.3611E+04 8.0591E-031633 3102
 1.3622E+04 7.1317E-03 1.3637E+04 6.0153E-03 1.3652E+04 5.1430E-031633 3102
 1.3667E+04 4.4484E-03 1.3693E+04 3.5694E-03 1.3713E+04 3.0441E-031633 3102
 1.3744E+04 2.4494E-03 1.3764E+04 2.1459E-03 1.3795E+04 1.7877E-031633 3102
 1.3826E+04 1.5137E-03 1.3856E+04 1.2993E-03 1.3907E+04 1.0332E-031633 3102
 1.3948E+04 8.7704E-04 1.4009E+04 7.0326E-04 1.4111E+04 5.1381E-041633 3102
 1.4234E+04 3.7689E-04 1.4336E+04 3.0346E-04 1.4438E+04 2.5164E-041633 3102
 1.4560E+04 2.0724E-04 1.4764E+04 1.5889E-04 1.5009E+04 1.2392E-041633 3102
 1.5254E+04 1.0210E-04 1.5498E+04 8.7529E-05 1.5743E+04 7.7310E-051633 3102
 1.6151E+04 6.5979E-05 1.6886E+04 5.4898E-05 1.7538E+04 5.0081E-051633 3102
 1.8354E+04 4.7823E-05 1.9170E+04 4.8989E-05 2.0149E+04 5.6283E-051633 3102
 2.0721E+04 6.5805E-05 2.1210E+04 8.0111E-05 2.1618E+04 1.0021E-041633 3102
 2.1863E+04 1.1862E-04 2.2067E+04 1.3992E-04 2.2271E+04 1.6966E-041633 3102
 2.2516E+04 2.2382E-04 2.2720E+04 2.9629E-04 2.2842E+04 3.6064E-041633 3102
 2.2965E+04 4.5094E-04 2.3107E+04 6.1101E-04 2.3230E+04 8.3304E-041633 3102
 2.3332E+04 1.1309E-03 2.3393E+04 1.3962E-03 2.3454E+04 1.7700E-031633 3102
 2.3495E+04 2.1110E-03 2.3556E+04 2.8459E-03 2.3577E+04 3.1790E-031633 3102
 2.3617E+04 4.0502E-03 2.3638E+04 4.6277E-03 2.3668E+04 5.7470E-031633 3102
 2.3689E+04 6.7439E-03 2.3699E+04 7.3429E-03 2.3719E+04 8.8075E-031633 3102
 2.3735E+04 1.0206E-02 2.3740E+04 1.0748E-02 2.3750E+04 1.1973E-021633 3102
 2.3755E+04 1.2665E-02 2.3760E+04 1.3419E-02 2.3765E+04 1.4241E-021633 3102
 2.3770E+04 1.5142E-02 2.3776E+04 1.6129E-02 2.3781E+04 1.7216E-021633 3102
 2.3786E+04 1.8416E-02 2.3791E+04 1.9743E-02 2.3796E+04 2.1215E-021633 3102
 2.3801E+04 2.2857E-02 2.3804E+04 2.3751E-02 2.3809E+04 2.5701E-021633 3102
