K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
 3.6611E+03 1.8806E-03 3.8507E+03 1.6998E-03 4.0402E+03 1.5844E-031939 3102
 4.2297E+03 1.4951E-03 4.6088E+03 1.3599E-03 4.7984E+03 1.3079E-031939 3102
 5.1775E+03 1.2295E-03 5.5565E+03 1.1827E-03 5.9356E+03 1.1687E-031939 3102
 6.3147E+03 1.1934E-03 6.5043E+03 1.2240E-03 6.6938E+03 1.2703E-031939 3102
 7.0729E+03 1.4275E-03 7.2624E+03 1.5526E-03 7.5467E+03 1.8342E-031939 3102
 7.6415E+03 1.9642E-03 7.8311E+03 2.3055E-03 8.0206E+03 2.8080E-031939 3102
 8.1154E+03 3.1513E-03 8.2101E+03 3.5835E-03 8.3049E+03 4.1367E-031939 3102
 8.4471E+03 5.3096E-03 8.4945E+03 5.8335E-03 8.5892E+03 7.1813E-031939 3102
 8.6366E+03 8.0589E-03 8.6840E+03 9.1240E-03 8.7314E+03 1.0434E-021939 3102
 8.7788E+03 1.2070E-02 8.8262E+03 1.4146E-02 8.8498E+03 1.5399E-021939 3102
 8.8972E+03 1.8501E-02 8.9209E+03 2.0431E-02 8.9446E+03 2.2690E-021939 3102
 8.9683E+03 2.5350E-02 8.9802E+03 2.6861E-02 8.9920E+03 2.8522E-021939 3102
 9.0039E+03 3.0346E-02 9.0157E+03 3.2354E-02 9.0275E+03 3.4573E-021939 3102
 9.0394E+03 3.7033E-02 9.0512E+03 3.9770E-02 9.0631E+03 4.2827E-021939 3102
 9.0749E+03 4.6257E-02 9.0868E+03 5.0122E-02 9.0986E+03 5.4498E-021939 3102
 9.1105E+03 5.9482E-02 9.1223E+03 6.5189E-02 9.1342E+03 7.1769E-021939 3102
 9.1460E+03 7.9367E-02 9.1519E+03 8.3617E-02 9.1579E+03 8.8253E-021939 3102
 9.1638E+03 9.3289E-02 9.1697E+03 9.8771E-02 9.1756E+03 1.0475E-011939 3102
 9.1815E+03 1.1130E-01 9.1875E+03 1.1847E-01 9.1934E+03 1.2637E-011939 3102
 9.1993E+03 1.3509E-01 9.2052E+03 1.4474E-01 9.2112E+03 1.5546E-011939 3102
 9.2171E+03 1.6742E-01 9.2230E+03 1.8081E-01 9.2289E+03 1.9588E-011939 3102
 9.2349E+03 2.1289E-01 9.2408E+03 2.3222E-01 9.2467E+03 2.5428E-011939 3102
 9.2526E+03 2.7962E-01 9.2586E+03 3.0890E-01 9.2645E+03 3.4299E-011939 3102
 9.2704E+03 3.8297E-01 9.2763E+03 4.3025E-01 9.2822E+03 4.8669E-011939 3102
 9.2882E+03 5.5468E-01 9.2941E+03 6.3700E-01 9.2971E+03 6.8494E-011939 3102
 9.3000E+03 7.3857E-01 9.3030E+03 7.9865E-01 9.3059E+03 8.6613E-011939 3102
 9.3089E+03 9.4212E-01 9.3119E+03 1.0281E+00 9.3148E+03 1.1256E+001939 3102
 9.3178E+03 1.2369E+00 9.3207E+03 1.3643E+00 9.3237E+03 1.5107E+001939 3102
 9.3267E+03 1.6796E+00 9.3296E+03 1.8753E+00 9.3326E+03 2.1027E+001939 3102
 9.3356E+03 2.3674E+00 9.3385E+03 2.6757E+00 9.3415E+03 3.0344E+001939 3102
 9.3444E+03 3.4493E+00 9.3474E+03 3.9243E+00 9.3502E+03 4.4328E+001939 3102
 9.3530E+03 4.9877E+00 9.3615E+03 6.6998E+00 9.3643E+03 7.1460E+001939 3102
 9.3672E+03 7.4394E+00 9.3700E+03 7.5399E+00 9.3728E+03 7.4336E+001939 3102
 9.3757E+03 7.1362E+00 9.3785E+03 6.6889E+00 9.3813E+03 6.1456E+001939 3102
 9.3870E+03 4.9716E+00 9.3898E+03 4.4149E+00 9.3926E+03 3.9065E+001939 3102
 9.3957E+03 3.4047E+00 9.3989E+03 2.9707E+00 9.4020E+03 2.5994E+001939 3102
 9.4052E+03 2.2834E+00 9.4083E+03 2.0148E+00 9.4115E+03 1.7862E+001939 3102
 9.4146E+03 1.5912E+00 9.4178E+03 1.4241E+00 9.4209E+03 1.2804E+001939 3102
 9.4241E+03 1.1561E+00 9.4272E+03 1.0482E+00 9.4304E+03 9.5415E-011939 3102
 9.4335E+03 8.7190E-01 9.4367E+03 7.9986E-01 9.4430E+03 6.7926E-011939 3102
 9.4493E+03 5.8273E-01 9.4556E+03 5.0493E-01 9.4619E+03 4.4146E-011939 3102
 9.4682E+03 3.8906E-01 9.4745E+03 3.4534E-01 9.4808E+03 3.0851E-011939 3102
 9.4871E+03 2.7720E-01 9.4934E+03 2.5039E-01 9.4997E+03 2.2725E-011939 3102
 9.5060E+03 2.0714E-01 9.5123E+03 1.8958E-01 9.5186E+03 1.7429E-011939 3102
 9.5312E+03 1.4866E-01 9.5438E+03 1.2813E-01 9.5564E+03 1.1156E-011939 3102
 9.5690E+03 9.8001E-02 9.5816E+03 8.6764E-02 9.5942E+03 7.7350E-021939 3102
 9.6068E+03 6.9387E-02 9.6194E+03 6.2591E-02 9.6320E+03 5.6747E-021939 3102
 9.6446E+03 5.1683E-02 9.6698E+03 4.3419E-02 9.6950E+03 3.6994E-021939 3102
 9.7202E+03 3.1881E-02 9.7454E+03 2.7762E-02 9.7706E+03 2.4395E-021939 3102
 9.7958E+03 2.1609E-02 9.8210E+03 1.9277E-02 9.8462E+03 1.7306E-021939 3102
 9.8966E+03 1.4180E-02 9.9470E+03 1.1839E-02 9.9974E+03 1.0043E-021939 3102
 1.0048E+04 8.6330E-03 1.0098E+04 7.5042E-03 1.0149E+04 6.5884E-031939 3102
 1.0249E+04 5.2085E-03 1.0300E+04 4.6813E-03 1.0401E+04 3.8505E-031939 3102
 1.0552E+04 2.9820E-03 1.0703E+04 2.3943E-03 1.0804E+04 2.1020E-031939 3102
 1.1005E+04 1.6737E-03 1.1308E+04 1.2724E-03 1.1610E+04 1.0411E-031939 3102
