S - 36N,G    1.0000+00* JEF-2.2                                   1636 3102
 1.8750E+03 1.9172E-03 2.0265E+03 1.8601E-03 2.1875E+03 1.8057E-031636 3102
 2.3396E+03 1.7591E-03 2.5000E+03 1.7143E-03 2.7986E+03 1.6407E-031636 3102
 3.1250E+03 1.5718E-03 3.4262E+03 1.5166E-03 3.7500E+03 1.4643E-031636 3102
 4.0529E+03 1.4207E-03 4.3750E+03 1.3791E-03 4.6792E+03 1.3435E-031636 3102
 5.0000E+03 1.3093E-03 5.5973E+03 1.2531E-03 6.2500E+03 1.2005E-031636 3102
 6.8523E+03 1.1583E-03 7.5000E+03 1.1184E-03 8.1058E+03 1.0851E-031636 3102
 8.7500E+03 1.0533E-03 1.0000E+04 1.0000E-03 1.1286E+04 9.5139E-041636 3102
 1.2656E+04 9.0754E-04 1.4110E+04 8.6776E-04 1.5650E+04 8.3152E-041636 3102
 1.7276E+04 7.9834E-04 1.8988E+04 7.6785E-04 2.0766E+04 7.4006E-041636 3102
 2.2675E+04 7.1373E-04 2.4630E+04 6.8983E-04 2.6717E+04 6.6709E-041636 3102
 3.1117E+04 6.2648E-04 3.3429E+04 6.0825E-04 3.8374E+04 5.7465E-041636 3102
 4.3689E+04 5.4475E-04 4.9380E+04 5.1795E-04 5.8645E+04 4.8253E-041636 3102
 6.5281E+04 4.6169E-04 7.2301E+04 4.4266E-04 7.9707E+04 4.2523E-041636 3102
 9.5690E+04 3.9439E-04 1.1332E+05 3.6786E-04 1.3255E+05 3.4485E-041636 3102
 1.4267E+05 3.3455E-04 1.6436E+05 3.1561E-04 1.8770E+05 2.9881E-041636 3102
 2.1271E+05 2.8380E-04 2.5350E+05 2.6402E-04 2.8275E+05 2.5240E-041636 3102
 3.1396E+05 2.4175E-04 3.4692E+05 2.3200E-04 3.8166E+05 2.2306E-041636 3102
 4.1818E+05 2.1482E-04 4.9664E+05 2.0013E-04 5.8239E+05 1.8742E-041636 3102
 6.2757E+05 1.8174E-04 7.2442E+05 1.7130E-04 8.2878E+05 1.6207E-041636 3102
 1.0000E+06 1.5000E-04 1.0536E+06 1.5674E-04 1.1096E+06 1.6371E-041636 3102
 1.2290E+06 1.7841E-04 1.3589E+06 1.9414E-04 1.5000E+06 2.1097E-041636 3102
 1.6136E+06 2.2239E-04 1.7346E+06 2.3430E-04 1.8633E+06 2.4672E-041636 3102
 2.0000E+06 2.5966E-04 2.1061E+06 2.7709E-04 2.2172E+06 2.9557E-041636 3102
 2.3335E+06 3.1518E-04 2.4551E+06 3.3596E-04 2.5824E+06 3.5798E-041636 3102
 2.7155E+06 3.8131E-04 2.8546E+06 4.0602E-04 3.0000E+06 4.5388E-041636 3102
 3.1865E+06 4.9362E-04 3.3833E+06 5.3663E-04 3.3833E+06 5.3661E-041636 3102
 3.3874E+06 5.1406E-04 3.3916E+06 4.9220E-04 3.3958E+06 4.7163E-041636 3102
 3.4000E+06 4.5169E-04 3.4199E+06 4.3040E-04 3.4398E+06 4.1023E-041636 3102
 3.4473E+06 4.0557E-04 3.4548E+06 4.0096E-04 3.4698E+06 3.9195E-041636 3102
 3.5000E+06 3.7461E-04 3.5602E+06 3.6206E-04 3.6220E+06 3.4993E-041636 3102
 3.6852E+06 3.3820E-04 3.7500E+06 3.2686E-04 3.8729E+06 3.2637E-041636 3102
 4.0000E+06 3.2592E-04 4.0649E+06 3.2895E-04 4.0650E+06 3.2895E-041636 3102
 4.2500E+06 3.3747E-04 4.3096E+06 3.4136E-04 4.3096E+06 3.4136E-041636 3102
 4.3208E+06 3.3214E-04 4.3321E+06 3.2320E-04 4.3546E+06 3.0616E-041636 3102
 4.3770E+06 2.9033E-04 4.4000E+06 2.7516E-04 4.4616E+06 2.6818E-041636 3102
 4.5238E+06 2.6148E-04 4.6498E+06 2.4888E-04 4.6498E+06 2.4887E-041636 3102
 4.6649E+06 2.4723E-04 4.6800E+06 2.4560E-04 4.7033E+06 2.4363E-041636 3102
 4.7033E+06 2.4363E-04 4.7153E+06 2.4143E-04 4.7274E+06 2.3926E-041636 3102
 4.7515E+06 2.3499E-04 4.8000E+06 2.2678E-04 4.8495E+06 2.2430E-041636 3102
 4.8993E+06 2.2188E-04 5.0000E+06 2.1722E-04 5.1402E+06 2.2066E-041636 3102
 5.1402E+06 2.2066E-04 5.1527E+06 2.1938E-04 5.1651E+06 2.1812E-041636 3102
 5.1901E+06 2.1563E-04 5.2403E+06 2.1079E-04 5.2908E+06 2.0615E-041636 3102
 5.3416E+06 2.0168E-04 5.4457E+06 1.9314E-04 5.5511E+06 1.8527E-041636 3102
 5.6594E+06 1.7793E-04 5.7691E+06 1.7120E-04 5.8819E+06 1.6494E-041636 3102
 5.9960E+06 1.5922E-04 6.1134E+06 1.5395E-04 6.2322E+06 1.4918E-041636 3102
 6.3543E+06 1.4481E-04 6.4779E+06 1.4089E-04 6.6050E+06 1.3736E-041636 3102
 6.7337E+06 1.3425E-04 6.8660E+06 1.3150E-04 7.0000E+06 1.2915E-041636 3102
 7.2406E+06 1.2832E-04 7.4867E+06 1.2816E-04 7.7405E+06 1.2867E-041636 3102
 8.0000E+06 1.2989E-04 8.2996E+06 1.3230E-04 8.6066E+06 1.3565E-041636 3102
 8.9210E+06 1.4003E-04 9.2431E+06 1.4553E-04 9.2522E+06 1.4570E-041636 3102
 9.4000E+06 1.4859E-04 9.5886E+06 1.5251E-04 9.7797E+06 1.5688E-041636 3102
 9.9733E+06 1.6176E-04 1.0169E+07 1.6715E-04 1.0169E+07 1.6715E-041636 3102
 1.0200E+07 1.6805E-04 1.0297E+07 1.6922E-04 1.0396E+07 1.7069E-041636 3102
 1.0494E+07 1.7247E-04 1.0595E+07 1.7460E-04 1.0694E+07 1.7697E-041636 3102
 1.0796E+07 1.7969E-04 1.0896E+07 1.8262E-04 1.1000E+07 1.8597E-041636 3102
 1.1052E+07 1.8757E-04 1.1104E+07 1.8923E-04 1.1158E+07 1.9107E-041636 3102
 1.1213E+07 1.9303E-04 1.1269E+07 1.9511E-04 1.1326E+07 1.9733E-041636 3102
 1.1384E+07 1.9968E-04 1.1444E+07 2.0222E-04 1.1496E+07 2.0449E-041636 3102
 1.1551E+07 2.0700E-04 1.1606E+07 2.0958E-04 1.1662E+07 2.1229E-041636 3102
 1.1719E+07 2.1514E-04 1.1778E+07 2.1820E-04 1.1838E+07 2.2140E-041636 3102
 1.1899E+07 2.2476E-04 1.2009E+07 2.3108E-04 1.2123E+07 2.3799E-041636 3102
 1.2242E+07 2.4561E-04 1.2366E+07 2.5399E-04 1.2483E+07 2.6231E-041636 3102
 1.2604E+07 2.7136E-04 1.2722E+07 2.8063E-04 1.2845E+07 2.9077E-041636 3102
 1.2982E+07 3.0266E-04 1.3124E+07 3.1566E-04 1.3263E+07 3.2908E-041636 3102
 1.3408E+07 3.4385E-04 1.3408E+07 3.4385E-04 1.3600E+07 3.6462E-041636 3102
 1.3795E+07 3.8721E-04 1.3991E+07 4.1148E-04 1.4189E+07 4.3761E-041636 3102
 1.4389E+07 4.6566E-04 1.4591E+07 4.9567E-04 1.4692E+07 5.1128E-041636 3102
 1.4794E+07 5.2744E-04 1.4897E+07 5.4415E-04 1.5000E+07 5.6123E-041636 3102
 1.5246E+07 6.0334E-04 1.5495E+07 6.4747E-04 1.5746E+07 6.9288E-041636 3102
 1.6000E+07 7.3898E-04 1.6485E+07 8.2427E-04 1.6732E+07 8.6467E-041636 3102
 1.6980E+07 9.0222E-04 1.7232E+07 9.3669E-04 1.7485E+07 9.6715E-041636 3102
 1.7741E+07 9.9350E-04 1.8000E+07 1.0156E-03 1.8487E+07 1.0449E-031636 3102
 1.8982E+07 1.0602E-03 1.9487E+07 1.0633E-03 1.9742E+07 1.0609E-031636 3102
 2.0000E+07 1.0562E-03                                            1636 3102
                                                                  1636 3  0
