O - 18N,G    1.0000+00* ESTIMATE, O16                              818 3102
 3.0084E+06 2.7713E-05 3.0086E+06 2.7715E-05 3.0088E+06 2.7716E-05 818 3102
 3.0090E+06 2.7717E-05 3.0100E+06 2.7724E-05 3.0150E+06 2.7758E-05 818 3102
 3.0200E+06 2.7792E-05 3.0400E+06 2.7927E-05 3.0500E+06 2.7995E-05 818 3102
 3.0600E+06 2.8063E-05 3.0800E+06 2.8199E-05 3.1000E+06 2.8335E-05 818 3102
 3.1200E+06 2.8472E-05 3.1400E+06 2.8609E-05 3.1600E+06 2.8746E-05 818 3102
 3.1700E+06 2.8814E-05 3.1800E+06 2.8883E-05 3.1900E+06 2.8952E-05 818 3102
 3.2000E+06 2.9021E-05 3.2010E+06 2.9028E-05 3.2020E+06 2.9035E-05 818 3102
 3.2030E+06 2.9042E-05 3.2040E+06 2.9048E-05 3.2050E+06 2.9055E-05 818 3102
 3.2060E+06 2.9062E-05 3.2070E+06 2.9069E-05 3.2080E+06 2.9076E-05 818 3102
 3.2090E+06 2.9083E-05 3.2100E+06 2.9090E-05 3.2105E+06 2.9093E-05 818 3102
 3.2110E+06 2.9097E-05 3.2111E+06 2.9097E-05 3.2112E+06 2.9098E-05 818 3102
 3.2113E+06 2.9099E-05 3.2114E+06 2.9099E-05 3.2115E+06 2.9100E-05 818 3102
 3.2116E+06 2.9101E-05 3.2117E+06 2.9101E-05 3.2118E+06 2.9102E-05 818 3102
 3.2119E+06 2.9103E-05 3.2120E+06 2.9104E-05 3.2122E+06 2.9105E-05 818 3102
 3.2124E+06 2.9106E-05 3.2126E+06 2.9108E-05 3.2128E+06 2.9109E-05 818 3102
 3.2130E+06 2.9110E-05 3.2132E+06 2.9112E-05 3.2134E+06 2.9113E-05 818 3102
 3.2136E+06 2.9115E-05 3.2138E+06 2.9116E-05 3.2140E+06 2.9117E-05 818 3102
 3.2142E+06 2.9119E-05 3.2144E+06 2.9120E-05 3.2146E+06 2.9121E-05 818 3102
 3.2148E+06 2.9123E-05 3.2150E+06 2.9124E-05 3.2160E+06 2.9131E-05 818 3102
 3.2170E+06 2.9138E-05 3.2180E+06 2.9145E-05 3.2190E+06 2.9152E-05 818 3102
 3.2200E+06 2.9159E-05 3.2220E+06 2.9173E-05 3.2240E+06 2.9186E-05 818 3102
 3.2260E+06 2.9200E-05 3.2280E+06 2.9214E-05 3.2300E+06 2.9228E-05 818 3102
 3.2350E+06 2.9262E-05 3.2400E+06 2.9297E-05 3.2450E+06 2.9332E-05 818 3102
 3.2500E+06 2.9366E-05 3.2550E+06 2.9401E-05 3.2600E+06 2.9435E-05 818 3102
 3.2650E+06 2.9470E-05 3.2700E+06 2.9505E-05 3.2750E+06 2.9539E-05 818 3102
 3.2800E+06 2.9574E-05 3.2850E+06 2.9609E-05 3.2900E+06 2.9644E-05 818 3102
 3.2950E+06 2.9678E-05 3.3000E+06 2.9713E-05 3.3050E+06 2.9748E-05 818 3102
