V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
 6.1792E+03 1.2312E-01 6.2452E+03 1.3922E-01 6.3111E+03 1.5933E-012351 3102
 6.3771E+03 1.8450E-01 6.4431E+03 2.1586E-01 6.5091E+03 2.5441E-012351 3102
 6.5530E+03 2.8423E-01 6.6845E+03 3.8665E-01 6.7284E+03 4.1875E-012351 3102
 6.7723E+03 4.4443E-01 6.8161E+03 4.5992E-01 6.8600E+03 4.6256E-012351 3102
 6.9024E+03 4.5233E-01 6.9449E+03 4.3119E-01 7.0085E+03 3.9026E-012351 3102
 7.0138E+03 3.9028E-01 7.0164E+03 3.9286E-01 7.0191E+03 4.0108E-012351 3102
 7.0204E+03 4.1396E-01 7.0217E+03 4.5040E-01 7.0224E+03 4.8964E-012351 3102
 7.0231E+03 5.5489E-01 7.0237E+03 6.5914E-01 7.0244E+03 8.1743E-012351 3102
 7.0251E+03 1.0438E+00 7.0257E+03 1.3466E+00 7.0264E+03 1.7224E+002351 3102
 7.0270E+03 2.1511E+00 7.0277E+03 2.5942E+00 7.0285E+03 3.0867E+002351 3102
 7.0290E+03 3.3072E+00 7.0293E+03 3.3873E+00 7.0296E+03 3.4591E+002351 3102
 7.0301E+03 3.4867E+00 7.0306E+03 3.4025E+00 7.0310E+03 3.2892E+002351 3102
 7.0314E+03 3.1355E+00 7.0317E+03 2.9478E+00 7.0338E+03 1.5889E+002351 3102
 7.0342E+03 1.3911E+00 7.0345E+03 1.2138E+00 7.0349E+03 1.0586E+002351 3102
 7.0352E+03 9.2494E-01 7.0359E+03 7.1911E-01 7.0366E+03 5.8281E-012351 3102
 7.0374E+03 4.9756E-01 7.0381E+03 4.4681E-01 7.0388E+03 4.1729E-012351 3102
 7.0402E+03 3.8987E-01 7.0416E+03 3.7868E-01 7.0444E+03 3.6804E-012351 3102
 7.0472E+03 3.6163E-01 7.0529E+03 3.5318E-01 7.0754E+03 3.3117E-012351 3102
 7.1206E+03 2.9430E-01 7.1657E+03 2.6106E-01 7.2109E+03 2.3151E-012351 3102
 7.2454E+03 2.1146E-01 7.2799E+03 1.9352E-01 7.3144E+03 1.7754E-012351 3102
 7.3489E+03 1.6333E-01 7.3834E+03 1.5072E-01 7.4179E+03 1.3952E-012351 3102
 7.4524E+03 1.2958E-01 7.4869E+03 1.2074E-01 7.5214E+03 1.1286E-012351 3102
 7.5559E+03 1.0585E-01 7.6249E+03 9.3962E-02 7.6939E+03 8.4387E-022351 3102
 7.7629E+03 7.6625E-02 7.8319E+03 7.0289E-02 7.9009E+03 6.5086E-022351 3102
 7.9698E+03 6.0792E-02 8.0388E+03 5.7239E-02 8.1768E+03 5.1832E-022351 3102
 8.3148E+03 4.8103E-02 8.4528E+03 4.5578E-02 8.5908E+03 4.3945E-022351 3102
 8.7288E+03 4.2996E-02 8.8668E+03 4.2590E-02 9.1428E+03 4.3024E-022351 3102
 9.4188E+03 4.4719E-02 9.5964E+03 4.6325E-02 9.9518E+03 5.0563E-022351 3102
 1.0041E+04 5.2324E-02 1.0063E+04 5.3280E-02 1.0085E+04 5.5465E-022351 3102
 1.0096E+04 5.8191E-02 1.0102E+04 6.0934E-02 1.0107E+04 6.6213E-022351 3102
 1.0113E+04 7.7921E-02 1.0116E+04 9.1244E-02 1.0117E+04 1.0360E-012351 3102
 1.0118E+04 1.2597E-01 1.0120E+04 1.7265E-01 1.0120E+04 2.1467E-012351 3102
 1.0121E+04 2.7911E-01 1.0122E+04 3.7357E-01 1.0123E+04 5.1263E-012351 3102
 1.0123E+04 7.0491E-01 1.0124E+04 9.6766E-01 1.0125E+04 1.3006E+002351 3102
 1.0125E+04 1.7128E+00 1.0126E+04 2.1803E+00 1.0127E+04 3.1922E+002351 3102
 1.0128E+04 3.6510E+00 1.0129E+04 3.9249E+00 1.0129E+04 4.1830E+002351 3102
 1.0130E+04 4.2458E+00 1.0130E+04 4.2763E+00 1.0130E+04 4.2360E+002351 3102
 1.0131E+04 4.1010E+00 1.0132E+04 3.8241E+00 1.0132E+04 3.6138E+002351 3102
 1.0133E+04 3.1345E+00 1.0134E+04 2.0808E+00 1.0135E+04 1.5997E+002351 3102
 1.0136E+04 1.1912E+00 1.0136E+04 8.6550E-01 1.0137E+04 6.2262E-012351 3102
 1.0138E+04 4.4520E-01 1.0139E+04 3.2289E-01 1.0139E+04 2.4130E-012351 3102
 1.0140E+04 1.8861E-01 1.0141E+04 1.5398E-01 1.0142E+04 1.1621E-012351 3102
 1.0144E+04 9.8101E-02 1.0145E+04 8.7630E-02 1.0148E+04 7.5956E-022351 3102
 1.0154E+04 6.5575E-02 1.0160E+04 6.0938E-02 1.0165E+04 5.8583E-022351 3102
 1.0177E+04 5.6380E-02 1.0200E+04 5.4958E-02 1.0224E+04 5.4655E-022351 3102
 1.0317E+04 5.5300E-02 1.0875E+04 6.1296E-02 1.1061E+04 6.2421E-022351 3102
 1.1248E+04 6.2842E-02 1.1434E+04 6.2488E-02 1.1707E+04 6.1384E-022351 3102
 1.1725E+04 6.2267E-02 1.1733E+04 6.3800E-02 1.1742E+04 6.8624E-022351 3102
 1.1747E+04 7.8342E-02 1.1749E+04 9.8783E-02 1.1750E+04 1.2544E-012351 3102
 1.1751E+04 1.7823E-01 1.1752E+04 2.7464E-01 1.1753E+04 4.3771E-012351 3102
 1.1754E+04 5.4965E-01 1.1754E+04 6.8695E-01 1.1755E+04 1.0260E+002351 3102
 1.1757E+04 1.8358E+00 1.1758E+04 2.0909E+00 1.1759E+04 2.2468E+002351 3102
 1.1760E+04 2.3238E+00 1.1760E+04 2.3379E+00 1.1760E+04 2.3215E+002351 3102
 1.1761E+04 2.2243E+00 1.1762E+04 2.1324E+00 1.1762E+04 2.0186E+002351 3102
 1.1763E+04 1.7421E+00 1.1764E+04 1.1284E+00 1.1765E+04 8.5032E-012351 3102
 1.1766E+04 6.1875E-01 1.1767E+04 4.3926E-01 1.1768E+04 3.1021E-012351 3102
 1.1769E+04 2.2046E-01 1.1769E+04 1.6204E-01 1.1770E+04 1.2563E-012351 3102
 1.1772E+04 9.0683E-02 1.1773E+04 7.7968E-02 1.1777E+04 6.9715E-022351 3102
 1.1780E+04 6.6329E-02 1.1786E+04 6.3201E-02 1.1800E+04 6.1084E-022351 3102
 1.1813E+04 6.0255E-02 1.1865E+04 5.9083E-02 1.1917E+04 5.8891E-022351 3102
 1.1930E+04 5.9379E-02 1.1943E+04 6.1156E-02 1.1950E+04 6.4118E-022351 3102
 1.1953E+04 6.7466E-02 1.1957E+04 7.5895E-02 1.1958E+04 8.8607E-022351 3102
 1.1960E+04 1.2313E-01 1.1961E+04 1.5789E-01 1.1961E+04 2.1354E-012351 3102
 1.1962E+04 2.9831E-01 1.1963E+04 4.2117E-01 1.1964E+04 5.8680E-012351 3102
 1.1965E+04 8.0177E-01 1.1966E+04 1.0590E+00 1.1968E+04 1.7632E+002351 3102
 1.1968E+04 1.9905E+00 1.1969E+04 2.1096E+00 1.1970E+04 2.1753E+002351 3102
 1.1970E+04 2.1851E+00 1.1970E+04 2.1679E+00 1.1971E+04 2.0608E+002351 3102
 1.1971E+04 2.0152E+00 1.1972E+04 1.8385E+00 1.1973E+04 1.6985E+002351 3102
 1.1974E+04 1.2265E+00 1.1975E+04 9.2533E-01 1.1976E+04 6.6474E-012351 3102
 1.1977E+04 4.6321E-01 1.1978E+04 3.1614E-01 1.1978E+04 2.1837E-012351 3102
 1.1979E+04 1.5654E-01 1.1980E+04 1.1934E-01 1.1981E+04 9.7476E-022351 3102
 1.1983E+04 7.7870E-02 1.1985E+04 7.0611E-02 1.1992E+04 6.2215E-022351 3102
 1.1999E+04 5.9655E-02 1.2014E+04 5.7833E-02 1.2028E+04 5.7055E-022351 3102
 1.2202E+04 5.3538E-02 1.2433E+04 4.9357E-02 1.2896E+04 4.0894E-022351 3102
 1.3359E+04 3.3386E-02 1.3590E+04 3.0199E-02 1.3821E+04 2.7424E-022351 3102
 1.4056E+04 2.5034E-02 1.4291E+04 2.3080E-02 1.4526E+04 2.1590E-022351 3102
 1.4760E+04 2.0644E-02 1.4878E+04 2.0429E-02 1.4995E+04 2.0442E-022351 3102
 1.5112E+04 2.0756E-02 1.5230E+04 2.1488E-02 1.5347E+04 2.2844E-022351 3102
 1.5406E+04 2.3865E-02 1.5465E+04 2.5223E-02 1.5523E+04 2.7059E-022351 3102
 1.5582E+04 2.9693E-02 1.5611E+04 3.1629E-02 1.5641E+04 3.4848E-022351 3102
 1.5663E+04 4.0930E-02 1.5670E+04 4.6014E-02 1.5677E+04 5.6655E-022351 3102
 1.5681E+04 6.8221E-02 1.5685E+04 9.5681E-02 1.5686E+04 1.3108E-012351 3102
 1.5687E+04 1.6370E-01 1.5688E+04 2.1450E-01 1.5689E+04 2.9195E-012351 3102
 1.5690E+04 4.1030E-01 1.5691E+04 5.8385E-01 1.5692E+04 8.2791E-012351 3102
 1.5693E+04 1.1505E+00 1.5694E+04 1.5627E+00 1.5695E+04 2.0524E+002351 3102
 1.5697E+04 3.3989E+00 1.5698E+04 3.7522E+00 1.5698E+04 4.0370E+002351 3102
 1.5699E+04 4.2532E+00 1.5700E+04 4.3253E+00 1.5701E+04 4.2734E+002351 3102
 1.5701E+04 4.1618E+00 1.5702E+04 3.9894E+00 1.5702E+04 3.8470E+002351 3102
 1.5703E+04 3.3154E+00 1.5705E+04 2.2783E+00 1.5706E+04 1.8808E+002351 3102
 1.5706E+04 1.5199E+00 1.5707E+04 1.2050E+00 1.5708E+04 9.4023E-012351 3102
 1.5708E+04 7.2499E-01 1.5709E+04 5.5527E-01 1.5710E+04 4.2507E-012351 3102
 1.5710E+04 3.2762E-01 1.5712E+04 2.0376E-01 1.5713E+04 1.4061E-012351 3102
 1.5715E+04 1.0801E-01 1.5717E+04 7.9201E-02 1.5723E+04 5.9554E-022351 3102
 1.5729E+04 5.1827E-02 1.5740E+04 4.6160E-02 1.5746E+04 4.5177E-022351 3102
 1.5757E+04 4.4555E-02 1.5790E+04 4.6695E-02 1.5813E+04 4.9486E-022351 3102
 1.5858E+04 5.7211E-02 1.5880E+04 6.2202E-02 1.5903E+04 6.8098E-022351 3102
 1.5925E+04 7.5074E-02 1.5947E+04 8.3349E-02 1.5970E+04 9.3194E-022351 3102
 1.5992E+04 1.0493E-01 1.6015E+04 1.1893E-01 1.6037E+04 1.3555E-012351 3102
 1.6060E+04 1.5512E-01 1.6078E+04 1.7388E-01 1.6097E+04 1.9466E-012351 3102
 1.6116E+04 2.1683E-01 1.6154E+04 2.6075E-01 1.6172E+04 2.7852E-012351 3102
 1.6191E+04 2.9027E-01 1.6210E+04 2.9415E-01 1.6229E+04 2.8951E-012351 3102
 1.6248E+04 2.7715E-01 1.6266E+04 2.5903E-01 1.6285E+04 2.3760E-012351 3102
 1.6323E+04 1.9302E-01 1.6342E+04 1.7254E-01 1.6360E+04 1.5414E-012351 3102
 1.6377E+04 1.3991E-01 1.6393E+04 1.2733E-01 1.6410E+04 1.1627E-012351 3102
 1.6426E+04 1.0659E-01 1.6442E+04 9.8157E-02 1.6459E+04 9.0815E-022351 3102
 1.6475E+04 8.4436E-02 1.6492E+04 7.8937E-02 1.6524E+04 7.0068E-022351 3102
 1.6557E+04 6.3553E-02 1.6590E+04 5.9021E-02 1.6623E+04 5.6240E-022351 3102
 1.6655E+04 5.5158E-02 1.6688E+04 5.5884E-02 1.6721E+04 5.8844E-022351 3102
 1.6754E+04 6.4893E-02 1.6770E+04 6.9509E-02 1.6786E+04 7.5562E-022351 3102
 1.6803E+04 8.3465E-02 1.6819E+04 9.3789E-02 1.6836E+04 1.0717E-012351 3102
 1.6844E+04 1.1530E-01 1.6852E+04 1.2469E-01 1.6860E+04 1.3543E-012351 3102
 1.6868E+04 1.4767E-01 1.6876E+04 1.6157E-01 1.6885E+04 1.7728E-012351 3102
 1.6894E+04 1.9752E-01 1.6903E+04 2.1993E-01 1.6913E+04 2.4393E-012351 3102
 1.6922E+04 2.6833E-01 1.6932E+04 2.9125E-01 1.6941E+04 3.1032E-012351 3102
 1.6951E+04 3.2290E-01 1.6960E+04 3.2700E-01 1.6969E+04 3.2186E-012351 3102
 1.6979E+04 3.0829E-01 1.6988E+04 2.8836E-01 1.6998E+04 2.6471E-012351 3102
 1.7017E+04 2.1511E-01 1.7026E+04 1.9211E-01 1.7043E+04 1.5614E-012351 3102
